Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.026000000000000002,0.0021908902300206636,0.023999999999999997,0.012521980673998824,0.0020000000000000052,0.012712198865656565,0.00010909090909090908,5.691809397272193e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.026000000000000002,0.0021908902300206636,0.002,0.0017888543819998316,0.024,0.0028284271247461896,9.090909090909091e-06,8.131156281817417e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.027999999999999997,0.004381780460041328,0.022,0.010733126291998992,0.005999999999999998,0.011593101396951551,9.999999999999999e-05,4.878693769090451e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.03,0.00282842712474619,0.022000000000000002,0.01073312629199899,0.007999999999999997,0.011099549540409285,0.0001,4.87869376909045e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.028000000000000004,0.0017888543819998314,0.006,0.002190890230020664,0.022000000000000006,0.0028284271247461896,2.7272727272727273e-05,9.958591954639381e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.034,0.003577708763999663,0.014000000000000002,0.008294576541331089,0.02,0.009033271832508972,6.363636363636364e-05,3.770262064241404e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.03,0.0,0.01,0.00282842712474619,0.019999999999999997,0.00282842712474619,4.545454545454546e-05,1.2856486930664501e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.036,0.005366563145999495,0.008,0.0017888543819998316,0.027999999999999997,0.00565685424949238,3.6363636363636364e-05,8.131156281817417e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.038,0.0017888543819998316,0.006,0.0021908902300206644,0.032,0.00282842712474619,2.7272727272727273e-05,9.958591954639385e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.04,0.0,0.015999999999999997,0.010039920318408906,0.024000000000000004,0.010039920318408906,7.272727272727271e-05,4.563600144731321e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.04,0.0,0.006,0.003577708763999663,0.034,0.003577708763999663,2.7272727272727273e-05,1.6262312563634833e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.046,0.0021908902300206644,0.012,0.0017888543819998316,0.034,0.00282842712474619,5.4545454545454546e-05,8.131156281817417e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.05,0.0,0.006,0.002190890230020664,0.044000000000000004,0.002190890230020664,2.7272727272727273e-05,9.958591954639381e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.055999999999999994,0.007797435475847169,0.006,0.002190890230020664,0.049999999999999996,0.008099382692526632,2.7272727272727273e-05,9.958591954639381e-06,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.054000000000000006,0.0021908902300206636,0.016,0.012198360545581526,0.038000000000000006,0.012393546707863736,7.272727272727273e-05,5.5447093389006936e-05,220
Total voltage (V),Total V error,Resistor Voltage (V),Resistor V error,LED voltage (V),LED V error,Current (A),Current error,Resistor load (Ohm)
0.057999999999999996,0.0017888543819998305,0.019999999999999997,0.013564659966250536,0.038,0.013682105101189656,9.090909090909089e-05,6.16575453011388e-05,220
